latitud,longitud,region,periodo,periodo_date
-34.9153030141,-57.9528527206,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
-34.9153589346,-57.9654503981,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
-34.764769,-58.3985385,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
-34.7885212,-58.3511228,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.6994171,-58.3926315,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
-34.7971402,-58.4829285,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
-34.6983107,-58.4313567,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
-34.6983107,-58.4313567,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
-34.9418040298,-57.9649087032,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
-34.7611823,-58.4302476,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
-34.7611823,-58.4302476,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
-34.9222528516,-57.9656844086,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
-34.7116771042,-58.4113941219,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
-34.6976590112,-58.4216542419,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
-34.6976590112,-58.4216542419,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
-34.7116771042,-58.4113941219,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
-34.6976590112,-58.4216542419,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
-34.6983107,-58.4313567,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
-34.7116771042,-58.4113941219,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
-34.7115525716,-58.4094679356,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
-34.701711,-58.4216179,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
-34.701711,-58.4216179,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
-34.7115525716,-58.4094679356,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
-34.7075572792,-58.4111738205,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
-34.701711,-58.4216179,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
-34.7075572792,-58.4111738205,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
-34.9207858065,-57.9270475865,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
-34.7075572792,-58.4111738205,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
-34.925804207,-57.9832454366,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
-34.9211308813,-57.9779626859,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
-34.7115525716,-58.4094679356,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
-34.7097628,-58.3977663,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
-34.7097628,-58.3977663,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
-34.9511642,-57.9706193,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
-34.9148392262,-57.9762988725,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
-34.9530869,-57.9791642,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
-34.761636226,-58.4107586693,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
-34.6994171,-58.3926315,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
-34.914546,-57.954717,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
-34.915936,-57.955348,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
-34.6994171,-58.3926315,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
