latitud,longitud,region,periodo,periodo_date
-34.5079461,-58.4782294,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.4971313,-58.5369988,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.499621,-58.523932,Capital Federal,01-2015,2015-01-01
-34.5346863,-58.7238098,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.4948079,-58.5164546,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.4912718,-58.5180148,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.5550454169,-58.5530735557,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.39270506,-58.7414312381,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.3926519403,-58.741109373,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.3921590671,-58.6471214211,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.5081821331,-58.4821863211,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.4788628,-58.5556565,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.5583872,-58.5694056,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.5578092,-58.56859,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.593277,-58.5491849,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.582938838,-58.5360847884,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.5577872,-58.5454351,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.5783413,-58.5463674,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.5629523334,-58.5678764688,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.5366643562,-58.5710121696,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.577168,-58.538654,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.5400898793,-58.5493038931,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.5637055,-58.6903973,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.5515332075,-58.5514166031,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.5509968817,-58.7196640518,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.5508669121,-58.7377859915,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.5503840811,-58.5546571853,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.5770413,-58.5342642,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.43134308,-58.84141922,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.5518697158,-58.5648247688,Bs.As. G.B.A. Zona Oeste,01-2015,2015-01-01
-34.5504682231,-58.5598325729,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.5519395,-58.703878,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.5379116,-58.7085742,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.5493327,-58.5545607,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.5486524764,-58.5569097672,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.43134308,-58.84141922,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.5549431,-58.7253151,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.5549431,-58.7253151,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.5549431,-58.7253151,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.5482724,-58.561769,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.56501,-58.5547526,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.5549431,-58.7253151,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.39619446,-58.65106964,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.5026225613,-58.4953155938,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.5563388,-58.6854974,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.5560695259,-58.6851452304,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.5457493494,-58.5552622382,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.5796858,-58.7001452,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.5230796,-58.4842074,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.5784571208,-58.699228146,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.5087833221,-58.4788818396,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.4323629036,-58.5867952012,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.5782014,-58.545194,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.577168,-58.538654,Capital Federal,01-2015,2015-01-01
-34.571066,-58.53828,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.571066,-58.53828,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.5058975,-58.4803356,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.519592,-58.474142,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.4350337,-58.5627852,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.5452289587,-58.7024163243,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.4510128,-58.6267865,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.4355803,-58.5604652,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.4510128,-58.6267865,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.5757192569,-58.5376669471,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.4510128,-58.6267865,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.5740231354,-58.5432459418,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.4510128,-58.6267865,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.39710663,-58.64875317,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.574447169,-58.53616491,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.571066,-58.53828,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.571066,-58.53828,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.4510128,-58.6267865,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.4510128,-58.6267865,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.571066,-58.53828,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.577168,-58.538654,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.571066,-58.53828,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.5733164079,-58.5447050635,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.571066,-58.53828,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.571066,-58.53828,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.5079169013,-58.4779806173,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.5380213987,-58.7099461994,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.4510128,-58.6267865,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.4510128,-58.6267865,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.4510128,-58.6267865,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.4510128,-58.6267865,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.4510128,-58.6267865,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.4510128,-58.6267865,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.4510128,-58.6267865,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
