jurisdiccion,localidad,periodo,monto
Capital Federal,Floresta,12-2020,25434.375000000004
Capital Federal,San Telmo,12-2020,25745.762711864405
Capital Federal,Recoleta,12-2020,50005.241935483871
Bs.As. G.B.A. Zona Sur,Lanús,12-2020,20931.85840707965
Capital Federal,Villa Lugano,12-2020,18500
Capital Federal,San Cristobal,12-2020,22694.871794871797
Bs.As. G.B.A. Zona Oeste,Marcos Paz,12-2020,14075
Capital Federal,Versalles,12-2020,24333.333333333332
Capital Federal,Saavedra,12-2020,31828.571428571428
Bs.As. G.B.A. Zona Norte,Malvinas Argentinas,12-2020,13444.444444444443
Capital Federal,Parque Chas,12-2020,19500
Capital Federal,Monte Castro,12-2020,24117.647058823532
Bs.As. G.B.A. Zona Norte,Escobar,12-2020,22400
Capital Federal,Parque Centenario,12-2020,36816.666666666664
Capital Federal,Congreso,12-2020,24168.292682926829
Capital Federal,Villa Urquiza,12-2020,29566.666666666672
Capital Federal,Liniers,12-2020,23333.333333333332
Capital Federal,Once,12-2020,26968.965517241377
Bs.As. G.B.A. Zona Norte,San Isidro,12-2020,42519.767441860473
Capital Federal,Barrio Norte,12-2020,32877.272727272728
Capital Federal,Monserrat,12-2020,28159.459459459453
Bs.As. G.B.A. Zona Norte,San Fernando,12-2020,28500.000000000004
Capital Federal,Villa Crespo,12-2020,29735.106382978724
Bs.As. G.B.A. Zona Sur,Quilmes,12-2020,21503.205128205129
Capital Federal,Paternal,12-2020,25500
Bs.As. G.B.A. Zona Norte,Tigre,12-2020,53573.63636363636
Capital Federal,Villa Devoto,12-2020,28921.62162162162
Capital Federal,Villa General Mitre,12-2020,23500
Bs.As. G.B.A. Zona Sur,Cañuelas,12-2020,15000
Bs.As. G.B.A. Zona Norte,San Miguel,12-2020,19951.933701657457
Capital Federal,Parque Avellaneda,12-2020,23000
Capital Federal,Centro / Microcentro,12-2020,24772.727272727272
Capital Federal,Barracas,12-2020,26416.666666666661
Capital Federal,Puerto Madero,12-2020,119363.01369863014
Capital Federal,Pompeya,12-2020,29500
Capital Federal,Caballito,12-2020,28733.333333333336
Bs.As. G.B.A. Zona Oeste,La Matanza,12-2020,19689.171974522284
Capital Federal,Palermo,12-2020,44077.277477477473
Capital Federal,Retiro,12-2020,50276.744186046504
Bs.As. G.B.A. Zona Sur,Lomas de Zamora,12-2020,21847.101449275364
Capital Federal,Flores,12-2020,33477.066666666673
Bs.As. G.B.A. Zona Sur,Avellaneda,12-2020,19226.562499999996
Capital Federal,Villa Santa Rita,12-2020,26363.636363636364
Capital Federal,Villa del Parque,12-2020,27616.666666666672
Capital Federal,Agronomía,12-2020,27160
Capital Federal,Catalinas,12-2020,35000
Capital Federal,Villa Soldati,12-2020,25000
Capital Federal,Colegiales,12-2020,33348
Capital Federal,Parque Patricios,12-2020,27294.736842105271
Bs.As. G.B.A. Zona Oeste,Moreno,12-2020,17149.999999999996
Capital Federal,Tribunales,12-2020,26892.857142857141
Capital Federal,Nuñez,12-2020,35685.106382978724
Capital Federal,Constitución,12-2020,19625
Capital Federal,Villa Luro,12-2020,28491.666666666668
Capital Federal,Las Cañitas,12-2020,39249.999999999993
Bs.As. G.B.A. Zona Oeste,Ituzaingó,12-2020,23225
Bs.As. G.B.A. Zona Sur,La Plata,12-2020,32953.374592833869
Bs.As. G.B.A. Zona Norte,Pilar,12-2020,40830.357142857138
Bs.As. G.B.A. Zona Norte,"",12-2020,23142.857142857141
Bs.As. G.B.A. Zona Norte,Vicente López,12-2020,65916.666666666672
Bs.As. G.B.A. Zona Oeste,Tres de Febrero,12-2020,19700
Capital Federal,Coghlan,12-2020,30892.857142857145
Capital Federal,Parque Chacabuco,12-2020,27454.545454545452
Bs.As. G.B.A. Zona Sur,Berazategui,12-2020,28458.333333333332
Bs.As. G.B.A. Zona Oeste,Hurlingham,12-2020,22742.857142857141
Bs.As. G.B.A. Zona Norte,General San Martín,12-2020,21876.404494382019
Bs.As. G.B.A. Zona Sur,Esteban Echeverría,12-2020,25416.666666666664
Capital Federal,Abasto,12-2020,28923.076923076922
Bs.As. G.B.A. Zona Oeste,General Rodríguez,12-2020,18333.333333333332
Capital Federal,Boca,12-2020,19961.538461538461
Capital Federal,San Nicolás,12-2020,25087.931034482757
Capital Federal,Boedo,12-2020,25783.870967741932
Bs.As. G.B.A. Zona Oeste,Morón,12-2020,17626.956521739132
Bs.As. G.B.A. Zona Norte,José C Paz,12-2020,14083.333333333334
Capital Federal,Villa Ortuzar,12-2020,40666.666666666664
Bs.As. G.B.A. Zona Sur,Ezeiza,12-2020,26428.571428571431
Capital Federal,Mataderos,12-2020,23763.636363636364
Capital Federal,Belgrano,12-2020,44371.323529411769
Bs.As. G.B.A. Zona Oeste,Merlo,12-2020,19113.63636363636
Capital Federal,Chacarita,12-2020,37499.999999999993
Capital Federal,"",12-2020,23818.18181818182
Capital Federal,Velez Sarsfield,12-2020,25000
Bs.As. G.B.A. Zona Sur,Florencio Varela,12-2020,22125
Capital Federal,Villa Pueyrredón,12-2020,27037.03703703704
Bs.As. G.B.A. Zona Sur,Almirante Brown,12-2020,21068.18181818182
Capital Federal,Almagro,12-2020,26440.76923076923
Capital Federal,Balvanera,12-2020,26813.235294117647
Capital Federal,Villa Lugano,12-2019,14146.882352941175
Bs.As. G.B.A. Zona Norte,José C Paz,12-2019,8753.8461538461524
Capital Federal,San Cristobal,12-2019,15306.060606060606
Bs.As. G.B.A. Zona Sur,Avellaneda,12-2019,12907.980000000001
Capital Federal,Parque Chas,12-2019,15000
Capital Federal,"",12-2019,13644.516304347828
Capital Federal,Liniers,12-2019,13791.666666666668
Capital Federal,Colegiales,12-2019,24129.787234042553
Capital Federal,Nuñez,12-2019,25622.500000000004
Capital Federal,Recoleta,12-2019,30199.953488372095
Bs.As. G.B.A. Zona Norte,Tigre,12-2019,25887.588652482271
Capital Federal,Villa Luro,12-2019,13428.571428571428
Capital Federal,Barracas,12-2019,16839.130434782612
Bs.As. G.B.A. Zona Sur,Lanús,12-2019,12994.871794871793
Bs.As. G.B.A. Zona Oeste,Marcos Paz,12-2019,11750
Capital Federal,Catalinas,12-2019,666666
Capital Federal,Parque Patricios,12-2019,17162.5
Bs.As. G.B.A. Zona Norte,General San Martín,12-2019,13116.01
Capital Federal,Belgrano,12-2019,32550.22026431718
Capital Federal,Villa Devoto,12-2019,19034.883720930233
Bs.As. G.B.A. Zona Sur,Lomas de Zamora,12-2019,13695.032679738562
Bs.As. G.B.A. Zona Sur,Esteban Echeverría,12-2019,10753.846153846154
Capital Federal,Villa del Parque,12-2019,19124.489795918373
Capital Federal,Mataderos,12-2019,13916.666666666666
Capital Federal,San Nicolás,12-2019,17523.469387755096
Bs.As. G.B.A. Zona Sur,La Plata,12-2019,14013.357400722023
Bs.As. G.B.A. Zona Norte,San Miguel,12-2019,11243.918918918918
Capital Federal,Retiro,12-2019,25121.62162162162
Bs.As. G.B.A. Zona Oeste,Ituzaingó,12-2019,12941.666666666668
Bs.As. G.B.A. Zona Norte,Vicente López,12-2019,25911.184210526317
Capital Federal,Boca,12-2019,13227.272727272728
Capital Federal,Parque Avellaneda,12-2019,15291.666666666668
Capital Federal,Constitución,12-2019,13363.636363636364
Bs.As. G.B.A. Zona Sur,Ezeiza,12-2019,15305.555555555555
Capital Federal,Parque Chacabuco,12-2019,17767.857142857145
Capital Federal,Balvanera,12-2019,15579.20792079208
Capital Federal,Boedo,12-2019,15670
Capital Federal,Once,12-2019,15351.470588235292
Capital Federal,Paternal,12-2019,17600
Bs.As. G.B.A. Zona Oeste,Merlo,12-2019,54705.555555555555
Bs.As. G.B.A. Zona Oeste,La Matanza,12-2019,12165.193370165744
Bs.As. G.B.A. Zona Norte,Pilar,12-2019,19297.5
Capital Federal,Caballito,12-2019,19004.020100502516
Capital Federal,Barrio Norte,12-2019,24348.484848484852
Capital Federal,Villa Ortuzar,12-2019,21550
Capital Federal,Villa Crespo,12-2019,19035.849056603769
Capital Federal,Monserrat,12-2019,20818.181818181816
Bs.As. G.B.A. Zona Norte,Malvinas Argentinas,12-2019,10200
Capital Federal,Palermo,12-2019,28254.734848484848
Bs.As. G.B.A. Zona Norte,San Fernando,12-2019,19577.528089887637
Capital Federal,Puerto Madero,12-2019,72733.333333333328
Capital Federal,Flores,12-2019,20739.325842696628
Capital Federal,Tribunales,12-2019,18172.727272727272
Capital Federal,Abasto,12-2019,20833.333333333332
Capital Federal,Villa General Mitre,12-2019,13777.777777777777
Capital Federal,San Telmo,12-2019,17548.979591836738
Bs.As. G.B.A. Zona Oeste,Hurlingham,12-2019,10735.714285714284
Bs.As. G.B.A. Zona Sur,Quilmes,12-2019,14956.097560975611
Bs.As. G.B.A. Zona Norte,Escobar,12-2019,12314.705882352942
Capital Federal,Las Cañitas,12-2019,40978.57142857142
Capital Federal,Villa Urquiza,12-2019,19110.85271317829
Bs.As. G.B.A. Zona Sur,Florencio Varela,12-2019,11000
Bs.As. G.B.A. Zona Oeste,Morón,12-2019,11670.16129032258
Capital Federal,Almagro,12-2019,19092.233009708736
Capital Federal,Chacarita,12-2019,22225
Capital Federal,Saavedra,12-2019,17929.629629629628
Capital Federal,Centro / Microcentro,12-2019,15448.275862068967
Capital Federal,Versalles,12-2019,16611.111111111109
Bs.As. G.B.A. Zona Sur,Berazategui,12-2019,20407.142857142859
Capital Federal,Monte Castro,12-2019,14825
Capital Federal,Villa Pueyrredón,12-2019,17795.833333333336
Bs.As. G.B.A. Zona Norte,"",12-2019,12664.705882352941
Capital Federal,Congreso,12-2019,14502.5
Capital Federal,Villa Real,12-2019,14450
Capital Federal,Villa Santa Rita,12-2019,20000
Capital Federal,Parque Centenario,12-2019,23228.571428571428
Bs.As. G.B.A. Zona Oeste,Tres de Febrero,12-2019,11412.765957446807
Bs.As. G.B.A. Zona Sur,Cañuelas,12-2019,11500
Bs.As. G.B.A. Zona Oeste,General Rodríguez,12-2019,10900
Capital Federal,Coghlan,12-2019,24411.76470588235
Capital Federal,Floresta,12-2019,24193.939393939392
Bs.As. G.B.A. Zona Sur,Almirante Brown,12-2019,14645.283018867925
Bs.As. G.B.A. Zona Norte,San Isidro,12-2019,28057.978723404252
Bs.As. G.B.A. Zona Oeste,Moreno,12-2019,10039.999999999998
Bs.As. G.B.A. Zona Sur,Lanús,12-2018,9373.9726027397282
Capital Federal,"",12-2018,13045.454545454546
Capital Federal,Villa del Parque,12-2018,13474.358974358975
Capital Federal,Colegiales,12-2018,13507
Bs.As. G.B.A. Zona Norte,Pilar,12-2018,15132.222222222223
Bs.As. G.B.A. Zona Norte,"",12-2018,8675
Capital Federal,Agronomía,12-2018,11833.333333333334
Capital Federal,Almagro,12-2018,12730.225988700568
Capital Federal,Flores,12-2018,13082.758620689656
Capital Federal,Boca,12-2018,9627.2727272727279
Capital Federal,Balvanera,12-2018,13585.405405405405
Bs.As. G.B.A. Zona Sur,Berazategui,12-2018,14833.333333333334
Bs.As. G.B.A. Zona Sur,Lomas de Zamora,12-2018,9782.4427480916056
Capital Federal,Liniers,12-2018,11185.714285714286
Bs.As. G.B.A. Zona Oeste,Moreno,12-2018,8130.3030303030291
Capital Federal,Villa Luro,12-2018,12959.375000000002
Capital Federal,Villa General Mitre,12-2018,13966.666666666666
Capital Federal,San Nicolás,12-2018,13735.294117647058
Bs.As. G.B.A. Zona Norte,Escobar,12-2018,10026.086956521738
Capital Federal,Versalles,12-2018,13000
Capital Federal,Monte Castro,12-2018,8328.57142857143
Bs.As. G.B.A. Zona Norte,José C Paz,12-2018,5977.7777777777774
Bs.As. G.B.A. Zona Sur,Florencio Varela,12-2018,8125
Capital Federal,Retiro,12-2018,16975.609756097561
Capital Federal,Recoleta,12-2018,21577
Capital Federal,Monserrat,12-2018,12900
Capital Federal,Villa Devoto,12-2018,12892.105263157893
Capital Federal,Once,12-2018,12277.272727272728
Bs.As. G.B.A. Zona Oeste,Hurlingham,12-2018,7555.5555555555557
Capital Federal,Floresta,12-2018,13487.500000000002
Bs.As. G.B.A. Zona Sur,Almirante Brown,12-2018,8557.5
Capital Federal,Paternal,12-2018,10585.294117647059
Capital Federal,Parque Chacabuco,12-2018,11847.826086956522
Bs.As. G.B.A. Zona Oeste,General Rodríguez,12-2018,7666.666666666667
Bs.As. G.B.A. Zona Sur,Avellaneda,12-2018,9630
Bs.As. G.B.A. Zona Oeste,Tres de Febrero,12-2018,8746.6165413533854
Bs.As. G.B.A. Zona Oeste,"",12-2018,8162.5
Capital Federal,San Cristobal,12-2018,13000
Bs.As. G.B.A. Zona Oeste,La Matanza,12-2018,9191.2927756654
Capital Federal,Saavedra,12-2018,14096.296296296296
Capital Federal,Mataderos,12-2018,11842.857142857143
Capital Federal,Belgrano,12-2018,21528.645833333332
Capital Federal,Barrio Norte,12-2018,17398.7012987013
Bs.As. G.B.A. Zona Norte,San Miguel,12-2018,9124.28057553957
Capital Federal,Nuñez,12-2018,19545.817307692309
Bs.As. G.B.A. Zona Oeste,Marcos Paz,12-2018,6700
Capital Federal,Centro / Microcentro,12-2018,18744
Bs.As. G.B.A. Zona Sur,Esteban Echeverría,12-2018,11752.941176470589
Capital Federal,Constitución,12-2018,9314.2857142857138
Capital Federal,Caballito,12-2018,14365.116279069767
Capital Federal,Boedo,12-2018,11040.90909090909
Bs.As. G.B.A. Zona Oeste,Ituzaingó,12-2018,8520
Capital Federal,Puerto Madero,12-2018,42523.214285714283
Bs.As. G.B.A. Zona Oeste,Merlo,12-2018,8052.3809523809523
Capital Federal,Villa Pueyrredón,12-2018,12812.5
Capital Federal,Villa Santa Rita,12-2018,12200
Bs.As. G.B.A. Zona Norte,General San Martín,12-2018,9654.06976744186
Bs.As. G.B.A. Zona Oeste,Morón,12-2018,8454.198473282444
Capital Federal,Chacarita,12-2018,12035.714285714286
Capital Federal,Velez Sarsfield,12-2018,10000
Capital Federal,Villa Soldati,12-2018,11000
Capital Federal,San Telmo,12-2018,13377.777777777777
Capital Federal,Congreso,12-2018,11929.032258064515
Capital Federal,Villa Ortuzar,12-2018,14408.333333333334
Capital Federal,Villa Lugano,12-2018,10500
Capital Federal,Villa Real,12-2018,12350
Capital Federal,Villa Crespo,12-2018,13477.358490566037
Capital Federal,Parque Chas,12-2018,11800
Capital Federal,Villa Urquiza,12-2018,14491.964285714286
Capital Federal,Parque Patricios,12-2018,11833.333333333334
Bs.As. G.B.A. Zona Sur,Quilmes,12-2018,12053.703703703703
Bs.As. G.B.A. Zona Sur,Ezeiza,12-2018,12126.315789473683
Capital Federal,Tribunales,12-2018,9700
Capital Federal,Las Cañitas,12-2018,21505
Bs.As. G.B.A. Zona Sur,La Plata,12-2018,10064.851485148518
Capital Federal,Coghlan,12-2018,15578.571428571429
Capital Federal,Parque Centenario,12-2018,12481.818181818182
Capital Federal,Abasto,12-2018,12200
Bs.As. G.B.A. Zona Norte,San Fernando,12-2018,13232.558139534885
Bs.As. G.B.A. Zona Norte,San Isidro,12-2018,21681.249999999996
Capital Federal,Parque Avellaneda,12-2018,11500
Capital Federal,Palermo,12-2018,21312.768240343346
Bs.As. G.B.A. Zona Norte,Malvinas Argentinas,12-2018,8534.6153846153848
Bs.As. G.B.A. Zona Norte,Tigre,12-2018,22160.3
Capital Federal,Barracas,12-2018,14428.571428571428
Capital Federal,Pompeya,12-2018,9125
Bs.As. G.B.A. Zona Norte,Vicente López,12-2018,22486.333333333332
Bs.As. G.B.A. Zona Sur,Lomas de Zamora,12-2017,7804.8148148148148
Capital Federal,Parque Patricios,12-2017,7300
Capital Federal,Congreso,12-2017,8152.9411764705874
Capital Federal,Villa del Parque,12-2017,10509.090909090908
Capital Federal,Las Cañitas,12-2017,17525
Capital Federal,Constitución,12-2017,9050
Capital Federal,Retiro,12-2017,22134.615384615387
Capital Federal,Once,12-2017,12700
Bs.As. G.B.A. Zona Sur,Lanús,12-2017,7908.181818181818
Bs.As. G.B.A. Zona Sur,Avellaneda,12-2017,7827.272727272727
Capital Federal,Monte Castro,12-2017,9080
Capital Federal,Barrio Norte,12-2017,13501.204819277109
Capital Federal,Versalles,12-2017,8333.3333333333339
Capital Federal,Liniers,12-2017,9780
Bs.As. G.B.A. Zona Norte,"",12-2017,8510
Bs.As. G.B.A. Zona Norte,General San Martín,12-2017,7562.4999999999991
Capital Federal,Boca,12-2017,10100
Bs.As. G.B.A. Zona Sur,Cañuelas,12-2017,6500
Capital Federal,Agronomía,12-2017,6000
Bs.As. G.B.A. Zona Norte,Escobar,12-2017,7022.2222222222226
Bs.As. G.B.A. Zona Sur,Berazategui,12-2017,7500
Capital Federal,Almagro,12-2017,10738.333333333332
Bs.As. G.B.A. Zona Norte,Vicente López,12-2017,15932.710280373833
Capital Federal,Villa Santa Rita,12-2017,12433.333333333334
Capital Federal,Villa Lugano,12-2017,8500
Capital Federal,Villa Devoto,12-2017,8500.74074074074
Capital Federal,Villa Ortuzar,12-2017,8866.6666666666661
Capital Federal,Saavedra,12-2017,10023.076923076924
Capital Federal,Monserrat,12-2017,10000
Capital Federal,Villa General Mitre,12-2017,7333.333333333333
Bs.As. G.B.A. Zona Oeste,Marcos Paz,12-2017,3500
Bs.As. G.B.A. Zona Sur,Ezeiza,12-2017,8333.3333333333339
Bs.As. G.B.A. Zona Sur,Esteban Echeverría,12-2017,8436.8421052631584
Capital Federal,Puerto Madero,12-2017,29223.684210526313
Capital Federal,Pompeya,12-2017,5000
Capital Federal,Paternal,12-2017,7000
Capital Federal,Chacarita,12-2017,11127.272727272728
Capital Federal,Villa Urquiza,12-2017,9700.41237113402
Capital Federal,Boedo,12-2017,12400
Bs.As. G.B.A. Zona Norte,Tigre,12-2017,15245.235294117647
Capital Federal,San Cristobal,12-2017,8417.64705882353
Bs.As. G.B.A. Zona Norte,San Isidro,12-2017,15657.746478873241
Capital Federal,Nuñez,12-2017,14382.784810126584
Capital Federal,Coghlan,12-2017,13137.5
Capital Federal,Parque Chacabuco,12-2017,6850
Capital Federal,Colegiales,12-2017,13133.142857142857
Capital Federal,Balvanera,12-2017,10217.741935483871
Bs.As. G.B.A. Zona Sur,San Vicente,12-2017,13500
Bs.As. G.B.A. Zona Norte,San Miguel,12-2017,7098.6111111111113
Bs.As. G.B.A. Zona Norte,José C Paz,12-2017,5042.8571428571431
Capital Federal,Parque Centenario,12-2017,14130
Capital Federal,San Nicolás,12-2017,8914.2857142857138
Capital Federal,Barracas,12-2017,10866.666666666666
Bs.As. G.B.A. Zona Sur,Quilmes,12-2017,11538.709677419354
Bs.As. G.B.A. Zona Oeste,Moreno,12-2017,5350
Bs.As. G.B.A. Zona Sur,La Plata,12-2017,7903.0434782608709
Capital Federal,Floresta,12-2017,8133.333333333333
Bs.As. G.B.A. Zona Oeste,General Rodríguez,12-2017,7750
Capital Federal,San Telmo,12-2017,11219.999999999996
Capital Federal,Caballito,12-2017,10664.485981308411
Capital Federal,Villa Crespo,12-2017,11035.593220338984
Bs.As. G.B.A. Zona Norte,Pilar,12-2017,12021.666666666666
Capital Federal,Villa Luro,12-2017,8714.2857142857138
Capital Federal,Recoleta,12-2017,17893.795620437952
Bs.As. G.B.A. Zona Oeste,Ituzaingó,12-2017,6850
Capital Federal,Tribunales,12-2017,10500
Capital Federal,Centro / Microcentro,12-2017,10172.222222222223
Capital Federal,"",12-2017,8250
Bs.As. G.B.A. Zona Oeste,Hurlingham,12-2017,5687.5
Capital Federal,Belgrano,12-2017,16365.561320754716
Bs.As. G.B.A. Zona Oeste,La Matanza,12-2017,7930.666666666667
Capital Federal,Villa Pueyrredón,12-2017,9396.818181818182
Capital Federal,Flores,12-2017,9557.1428571428569
Bs.As. G.B.A. Zona Norte,Malvinas Argentinas,12-2017,5075
Capital Federal,Abasto,12-2017,11281.25
Capital Federal,Mataderos,12-2017,7810
Bs.As. G.B.A. Zona Norte,San Fernando,12-2017,11881.81818181818
Capital Federal,Palermo,12-2017,17328.289473684214
Bs.As. G.B.A. Zona Oeste,Tres de Febrero,12-2017,6451.5625
Bs.As. G.B.A. Zona Oeste,Merlo,12-2017,5711.1111111111113
Capital Federal,Parque Chas,12-2017,9000
Bs.As. G.B.A. Zona Oeste,Morón,12-2017,6778.9473684210525
Bs.As. G.B.A. Zona Sur,Almirante Brown,12-2017,8620.51282051282
Bs.As. G.B.A. Zona Norte,Tigre,12-2016,11065.384615384617
Bs.As. G.B.A. Zona Sur,La Plata,12-2016,6196.9811320754716
Capital Federal,Colegiales,12-2016,8969.4444444444471
Capital Federal,Velez Sarsfield,12-2016,4800
Bs.As. G.B.A. Zona Sur,Lomas de Zamora,12-2016,6176.8292682926831
Bs.As. G.B.A. Zona Oeste,Ituzaingó,12-2016,5400
Capital Federal,Monserrat,12-2016,8718.75
Capital Federal,Monte Castro,12-2016,7300
Capital Federal,Villa Santa Rita,12-2016,7600
Bs.As. G.B.A. Zona Norte,"",12-2016,14170
Bs.As. G.B.A. Zona Sur,Quilmes,12-2016,7275.0000000000009
Capital Federal,Agronomía,12-2016,3966.6666666666665
Bs.As. G.B.A. Zona Oeste,Morón,12-2016,4766.6666666666661
Capital Federal,Recoleta,12-2016,13949.999999999998
Bs.As. G.B.A. Zona Oeste,Tres de Febrero,12-2016,5091.2898550724631
Bs.As. G.B.A. Zona Oeste,La Matanza,12-2016,5996.9298245614027
Capital Federal,Centro / Microcentro,12-2016,7896.0526315789466
Capital Federal,Versalles,12-2016,7300
Capital Federal,Coghlan,12-2016,9833.3333333333339
Bs.As. G.B.A. Zona Oeste,Hurlingham,12-2016,4500
Capital Federal,Villa Luro,12-2016,7343.75
Capital Federal,Abasto,12-2016,9172.7272727272721
Bs.As. G.B.A. Zona Norte,San Fernando,12-2016,9069.9999999999982
Capital Federal,Villa Real,12-2016,5333.333333333333
Capital Federal,Paternal,12-2016,5360
Capital Federal,Puerto Madero,12-2016,57590.909090909088
Capital Federal,Villa Ortuzar,12-2016,6716.6666666666661
Capital Federal,Almagro,12-2016,7798.4536082474215
Capital Federal,Constitución,12-2016,11400
Capital Federal,Parque Chacabuco,12-2016,5600
Bs.As. G.B.A. Zona Sur,Florencio Varela,12-2016,10500
Capital Federal,Flores,12-2016,7509.21052631579
Capital Federal,Belgrano,12-2016,15318.991266375544
Bs.As. G.B.A. Zona Sur,Berazategui,12-2016,5666.666666666667
Bs.As. G.B.A. Zona Norte,Vicente López,12-2016,13303.525641025642
Bs.As. G.B.A. Zona Sur,Almirante Brown,12-2016,7066.6666666666661
Capital Federal,Villa del Parque,12-2016,6245.833333333333
Capital Federal,Parque Avellaneda,12-2016,109000
Capital Federal,Villa Urquiza,12-2016,8687.09090909091
Bs.As. G.B.A. Zona Sur,Ezeiza,12-2016,5500
Capital Federal,Barrio Norte,12-2016,11155.312499999998
Bs.As. G.B.A. Zona Sur,Esteban Echeverría,12-2016,6280
Capital Federal,Villa Pueyrredón,12-2016,7518.181818181818
Capital Federal,Chacarita,12-2016,7499.9999999999991
Capital Federal,Boca,12-2016,5900
Capital Federal,Nuñez,12-2016,10000.000000000002
Capital Federal,Mataderos,12-2016,5670
Bs.As. G.B.A. Zona Sur,Cañuelas,12-2016,5160
Capital Federal,San Telmo,12-2016,8667.64705882353
Capital Federal,Las Cañitas,12-2016,24943.75
Capital Federal,Boedo,12-2016,5260
Bs.As. G.B.A. Zona Norte,San Isidro,12-2016,11977.777777777779
Bs.As. G.B.A. Zona Norte,San Miguel,12-2016,5288.2352941176468
Bs.As. G.B.A. Zona Norte,General San Martín,12-2016,5888.3720930232557
Capital Federal,Tribunales,12-2016,8133.3333333333321
Capital Federal,Villa Devoto,12-2016,8452
Capital Federal,Retiro,12-2016,14168.571428571429
Capital Federal,Congreso,12-2016,6842.0000000000009
Capital Federal,Villa General Mitre,12-2016,6666.666666666667
Capital Federal,San Nicolás,12-2016,7272.727272727273
Capital Federal,Villa Crespo,12-2016,7498.5915492957738
Capital Federal,Parque Patricios,12-2016,10500
Capital Federal,Barracas,12-2016,7073.3333333333339
Capital Federal,Liniers,12-2016,7215.3846153846152
Capital Federal,Parque Chas,12-2016,6500
Capital Federal,San Cristobal,12-2016,6900.0000000000009
Bs.As. G.B.A. Zona Oeste,Merlo,12-2016,5216.666666666667
Capital Federal,Villa Lugano,12-2016,9833.3333333333321
Capital Federal,"",12-2016,7800.0000000000009
Capital Federal,Palermo,12-2016,16859.429429429427
Capital Federal,Floresta,12-2016,5809.5238095238092
Bs.As. G.B.A. Zona Sur,Lanús,12-2016,6455.9999999999991
Bs.As. G.B.A. Zona Norte,José C Paz,12-2016,4600
Capital Federal,Caballito,12-2016,8176.3440860215051
Capital Federal,Parque Centenario,12-2016,8500
Bs.As. G.B.A. Zona Norte,Malvinas Argentinas,12-2016,7140
Capital Federal,Saavedra,12-2016,6433.333333333333
Bs.As. G.B.A. Zona Oeste,Moreno,12-2016,4325
Bs.As. G.B.A. Zona Norte,Pilar,12-2016,7970.833333333333
Capital Federal,Balvanera,12-2016,6953.9682539682535
Capital Federal,Once,12-2016,5262.5
Bs.As. G.B.A. Zona Sur,Avellaneda,12-2016,5475
Bs.As. G.B.A. Zona Norte,Escobar,12-2016,6920
Capital Federal,Velez Sarsfield,12-2015,5100
Bs.As. G.B.A. Zona Sur,Avellaneda,12-2015,4233.333333333333
Capital Federal,Mataderos,12-2015,6216.666666666667
Capital Federal,Boca,12-2015,5183.333333333333
Capital Federal,Constitución,12-2015,8433.3333333333321
Capital Federal,Coghlan,12-2015,7933.333333333333
Capital Federal,Villa Lugano,12-2015,4550
Capital Federal,Villa Luro,12-2015,6000
Bs.As. G.B.A. Zona Norte,General San Martín,12-2015,3996.1538461538462
Capital Federal,Centro / Microcentro,12-2015,5757.1428571428578
Capital Federal,Recoleta,12-2015,9225.8928571428569
Bs.As. G.B.A. Zona Norte,San Miguel,12-2015,4185.7142857142853
Bs.As. G.B.A. Zona Oeste,Tres de Febrero,12-2015,3989.2857142857142
Capital Federal,Parque Chacabuco,12-2015,5118.181818181818
Capital Federal,Retiro,12-2015,13727.722222222223
Capital Federal,San Cristobal,12-2015,3480
Capital Federal,Once,12-2015,8325
Capital Federal,Parque Centenario,12-2015,3466.6666666666665
Bs.As. G.B.A. Zona Norte,Malvinas Argentinas,12-2015,4850
Capital Federal,Floresta,12-2015,4037.5
Capital Federal,Colegiales,12-2015,10916.642857142855
Bs.As. G.B.A. Zona Sur,Lanús,12-2015,4266.6666666666661
Bs.As. G.B.A. Zona Norte,Pilar,12-2015,6014.6341463414628
Capital Federal,Saavedra,12-2015,5900
Bs.As. G.B.A. Zona Norte,Escobar,12-2015,4318.181818181818
Capital Federal,Villa Pueyrredón,12-2015,4910.0000000000009
Bs.As. G.B.A. Zona Sur,Almirante Brown,12-2015,4540
Bs.As. G.B.A. Zona Norte,Tigre,12-2015,10691.812865497077
Capital Federal,Pompeya,12-2015,3500
Bs.As. G.B.A. Zona Norte,José C Paz,12-2015,4150
Capital Federal,San Nicolás,12-2015,5106.666666666667
Capital Federal,Villa Santa Rita,12-2015,3500
Bs.As. G.B.A. Zona Norte,"",12-2015,5654.1666666666661
Bs.As. G.B.A. Zona Oeste,Merlo,12-2015,6325
Bs.As. G.B.A. Zona Norte,Vicente López,12-2015,11279.347826086954
Capital Federal,Barrio Norte,12-2015,7883.620689655173
Bs.As. G.B.A. Zona Oeste,General Rodríguez,12-2015,3500
Bs.As. G.B.A. Zona Oeste,Hurlingham,12-2015,4025
Bs.As. G.B.A. Zona Oeste,La Matanza,12-2015,3962.3376623376616
Capital Federal,Paternal,12-2015,5200
Capital Federal,Las Cañitas,12-2015,8412.5
Bs.As. G.B.A. Zona Sur,Ezeiza,12-2015,5750
Capital Federal,"",12-2015,9470.5882352941171
Capital Federal,Palermo,12-2015,10730.56687898089
Capital Federal,Villa Urquiza,12-2015,5511.7647058823522
Capital Federal,Versalles,12-2015,8000
