jurisdiccion,periodo,monto
Bs.As. G.B.A. Zona Norte,09-2016,10196.642617449666
Bs.As. G.B.A. Zona Oeste,09-2016,5001.5358361774761
Bs.As. G.B.A. Zona Sur,09-2015,4136.09375
Bs.As. G.B.A. Zona Norte,09-2015,7222.7397260273974
Capital Federal,09-2015,8366.5284837861491
Bs.As. G.B.A. Zona Oeste,09-2015,4047.0642201834867
Bs.As. G.B.A. Zona Sur,08-2021,32521.794520547945
Bs.As. G.B.A. Zona Oeste,08-2021,26254.270462633456
Bs.As. G.B.A. Zona Norte,08-2021,52213.905683192264
Capital Federal,08-2021,48249.4476340694
Bs.As. G.B.A. Zona Oeste,08-2020,16153.30985915493
Bs.As. G.B.A. Zona Norte,08-2020,28536.824877250408
Bs.As. G.B.A. Zona Sur,08-2020,18274.58273381296
Capital Federal,08-2020,34657.5597826087
Capital Federal,08-2019,21171.025962125848
Bs.As. G.B.A. Zona Oeste,08-2019,10725.867768595041
Bs.As. G.B.A. Zona Sur,08-2019,11917.289073305672
Bs.As. G.B.A. Zona Norte,08-2019,20694.509183027225
Bs.As. G.B.A. Zona Sur,08-2018,9404.9056603773588
Bs.As. G.B.A. Zona Oeste,08-2018,8369.150326797384
Bs.As. G.B.A. Zona Norte,08-2018,15293.849961330239
Capital Federal,08-2018,16377.369686411153
Capital Federal,08-2017,12825.103199999998
Bs.As. G.B.A. Zona Norte,08-2017,12271.864406779659
Bs.As. G.B.A. Zona Sur,08-2017,7331.8254901960781
Bs.As. G.B.A. Zona Oeste,08-2017,6450.8510638297857
Bs.As. G.B.A. Zona Norte,08-2016,10532.880434782608
Bs.As. G.B.A. Zona Sur,08-2016,5825.6756756756768
Bs.As. G.B.A. Zona Oeste,08-2016,4827.9369627507158
Capital Federal,08-2016,9816.69670846395
Capital Federal,08-2015,7982.1640091116178
Bs.As. G.B.A. Zona Sur,08-2015,4797.209302325582
Bs.As. G.B.A. Zona Oeste,08-2015,3858.4388185654011
Bs.As. G.B.A. Zona Norte,08-2015,8125.2951096121433
Bs.As. G.B.A. Zona Oeste,07-2021,25584.939759036148
Bs.As. G.B.A. Zona Norte,07-2021,48805.786419753094
Bs.As. G.B.A. Zona Sur,07-2021,30055.94896851249
Capital Federal,07-2021,46711.756729810579
Bs.As. G.B.A. Zona Oeste,07-2020,14586.565217391304
Bs.As. G.B.A. Zona Sur,07-2020,17074.156441717794
Capital Federal,07-2020,34011.173869346741
Bs.As. G.B.A. Zona Norte,07-2020,30284.894921190891
Bs.As. G.B.A. Zona Norte,07-2019,21780.786182551688
Bs.As. G.B.A. Zona Oeste,07-2019,10539.704248366013
Capital Federal,07-2019,21240.106828938468
Bs.As. G.B.A. Zona Sur,07-2019,13045.281481481483
Bs.As. G.B.A. Zona Sur,07-2018,9720.4574468085066
Bs.As. G.B.A. Zona Norte,07-2018,14526.505823627287
Bs.As. G.B.A. Zona Oeste,07-2018,7965.0193798449609
Capital Federal,07-2018,15765.490595611289
Capital Federal,07-2017,13379.847294292071
Bs.As. G.B.A. Zona Sur,07-2017,7346.4806201550373
Bs.As. G.B.A. Zona Oeste,07-2017,6119.2982456140353
Bs.As. G.B.A. Zona Norte,07-2017,12744.894678492237
Bs.As. G.B.A. Zona Oeste,07-2016,5126.305970149253
Bs.As. G.B.A. Zona Sur,07-2016,6832.9655172413777
Capital Federal,07-2016,10674.957482993193
Bs.As. G.B.A. Zona Norte,07-2016,10480.445969125214
Bs.As. G.B.A. Zona Sur,07-2015,4618.604651162791
Bs.As. G.B.A. Zona Norte,07-2015,7912.1824907521586
